Ali ||10011||10016,10013,10018||90012,90014,90016,90013,90016
Fatima ||10012||10013,10012,10018||90011,90014,90012,90015,90020
Ahmed ||10013||10011,10013,10018||90012,90013,90015,90030
Ayesha ||10014||10011,10013,10018,10017,10015||90012,90011,90016,90015
Bilal ||10015||10011,10013,10018||90011,90014,90016,90017
Zainab ||10016||10011,10013,10018||90013,90014
Usman ||10017||10013,10018||90012,90014,90016
Hassan ||10018||10011,10013,10018||90012, 90014, 90016
Mariam ||10019||10011,10014,10018||90011,90012,90014
Omar ||10020||10012,10016,10018||90013,90014,90015
Sana ||10021||10013,10014,10018||90016,90017,90018
Kamran ||10022||10011,10017,10018||90012,90015,90016
Rabia ||10023||10011,10013,10018||90014,90016,90019
Tariq ||10024||10012,10013,10014||90011,90017,90018
Farhan ||10025||10016,10017,10018||90013,90014,90015
Sadia ||10026||10011,10013,10018||90012,90014,90017
Nadia ||10027||10014,10015,10016||90011,90012,90018
Imran ||10028||10013,10014,10018||90016,90017,90019
Zara ||10029||10011,10018,10019||90013,90014,90015
Saad ||10030||10013,10017,10018|| 
Sadia ||10031||10013,10018||90012,90014,90017
Zara ||10032||10018,10019||90013,90014,90015
Kamran ||10033||10017,10018||90012,90015,90016
Omar ||10034||10016,10018||90013,90014,90015
Nadia ||10035||10015,10016||90011,90012,90018
Sana ||10036||10014,10018||90016,90017,90018
Ahmed ||10037||10013,10018||90012,90013,90015
Mariam ||10038||10014,10018||90011,90012,90014
Ayesha ||10039||10013,10018||90012,90011,90016
Bilal ||10040||10013,10018||90011,90014,90016,90017
Hassan ||10041||10013,10018||90012,90014,90016
Rabia ||10042||10013,10018||90014,90016,90019
Tariq ||10043||10013,10014||90011,90017,90018
Farhan ||10044||10017,10018||90013,90014,90015
Zainab ||10045||10013,10018||90013,90014
Fatima ||10046||10013,10018||90011,90014,90012
Ali ||10047||10013,10018||90012,90014,90016
Imran ||10048||10014,10018||90016,90017,90019
Usman ||10049||10013,10018||90012,90014,90016
Saad ||10050||10017,10018||90016,90017,90019
Ahad||10051|| 10015,10050||90016,90011
Ahmed Shamail||10052|| 10039|| 
